,close
2010/8/3,4193.641
2010/8/4,4248.014
2010/8/5,4267.955
2010/8/6,4356.012
2010/8/9,4413.568
2010/8/10,4246.46
2010/8/11,4297.904
2010/8/12,4241.592
2010/8/13,4323.052
2010/8/16,4423.315
2010/8/17,4457.759
2010/8/18,4457.127
2010/8/19,4461.488
2010/8/20,4366.604
2010/8/23,4404.718
2010/8/24,4456.497
2010/8/25,4368.304
2010/8/26,4399.284
2010/8/27,4431.444
2010/8/30,4553.023
2010/8/31,4589.289
2010/9/1,4530.229
2010/9/2,4625.395
2010/9/3,4662.96
2010/9/6,4651.963
2010/9/7,4679.942
2010/9/8,4720.375
2010/9/9,4658.009
2010/9/10,4705.31
2010/9/13,4789.693
2010/9/14,4805.416
2010/9/15,4730.143
2010/9/16,4610.916
2010/9/17,4603.489
2010/9/20,4553.12
2010/9/21,4546.724
2010/9/27,4673.602
2010/9/28,4654.345
2010/9/29,4590.317
2010/9/30,4660.605
2010/10/8,4767.967
2010/10/11,4789.155
2010/10/12,4806.029
2010/10/13,4836.737
2010/10/14,4679.548
2010/10/15,4691.45
2010/10/18,4636.639
2010/10/19,4778.607
2010/10/20,4794.194
2010/10/21,4833.8
2010/10/22,4877.927
2010/10/25,4998.5
2010/10/26,5046.148
2010/10/27,4994.774
2010/10/28,4999.59
2010/10/29,5055.492
2010/11/1,5199.525
2010/11/2,5173.066
2010/11/3,5098.539
2010/11/4,5228.296
2010/11/5,5311.77
2010/11/8,5431.091
2010/11/9,5467.839
2010/11/10,5484.742
2010/11/11,5440.099
2010/11/12,5111.189
2010/11/15,5255.267
2010/11/16,5068.465
2010/11/17,4855.85
2010/11/18,4932.401
2010/11/19,5081.03
2010/11/22,5150.665
2010/11/23,5063.237
2010/11/24,5206.149
2010/11/25,5259.81
2010/11/26,5227.648
2010/11/29,5248.747
2010/11/30,5110.875
2010/12/1,5116.837
2010/12/2,5138.487
2010/12/3,5100.366
2010/12/6,5016.528
2010/12/7,5084.583
2010/12/8,5069.97
2010/12/9,4964.901
2010/12/10,5039.165
2010/12/13,5179.021
2010/12/14,5244.038
2010/12/15,5230.68
2010/12/16,5216.851
2010/12/17,5228.337
2010/12/20,5163.529
2010/12/21,5222.792
2010/12/22,5174.539
2010/12/23,5069.523
2010/12/24,4991.544
2010/12/27,4849.63
2010/12/28,4730.497
2010/12/29,4812.532
2010/12/30,4828.489
2010/12/31,4936.716
2011/1/4,5011.498
2011/1/5,5028.766
2011/1/6,5001.283
2011/1/7,4975.144
2011/1/10,4830.562
2011/1/11,4804.822
2011/1/12,4833.58
2011/1/13,4826.757
2011/1/14,4723.426
2011/1/17,4519.913
2011/1/18,4536.964
2011/1/19,4646.087
2011/1/20,4477.359
2011/1/21,4506.322
2011/1/24,4398.495
2011/1/25,4341.909
2011/1/26,4424.892
2011/1/27,4502.808
2011/1/28,4548.206
2011/1/31,4610.86
2011/2/1,4630.58
2011/2/9,4609.717
2011/2/10,4733.973
2011/2/11,4786.806
2011/2/14,4872.495
2011/2/15,4869.687
2011/2/16,4952.667
2011/2/17,4987.48
2011/2/18,4941.432
2011/2/21,5042.967
2011/2/22,4909.745
2011/2/23,4979.057
2011/2/24,5027.731
2011/2/25,5032.797
2011/2/28,5095.208
2011/3/1,5122.441
2011/3/2,5108.74
2011/3/3,5009.047
2011/3/4,5067.621
2011/3/7,5138.248
2011/3/8,5165.735
2011/3/9,5181.368
2011/3/10,5143.413
2011/3/11,5139.746
2011/3/14,5190.037
2011/3/15,5131.332
2011/3/16,5199.358
2011/3/17,5104.134
2011/3/18,5126.934
2011/3/21,5086.108
2011/3/22,5085.812
2011/3/23,5155.337
2011/3/24,5169.264
2011/3/25,5212.345
2011/3/28,5199.552
2011/3/29,5111.153
2011/3/30,5064.545
2011/3/31,5000.402
2011/4/1,5065.076
2011/4/6,5057.84
2011/4/7,5089.751
2011/4/8,5148.799
2011/4/11,5107.137
2011/4/12,5114.459
2011/4/13,5165.207
2011/4/14,5150.869
2011/4/15,5162.415
2011/4/18,5178.894
2011/4/19,5116.144
2011/4/20,5152.395
2011/4/21,5188.111
2011/4/22,5165.123
2011/4/25,5054.768
2011/4/26,4970.572
2011/4/27,4913.497
2011/4/28,4755.416
2011/4/29,4836.866
2011/5/3,4920.57
2011/5/4,4814.781
2011/5/5,4827.212
2011/5/6,4849.969
2011/5/9,4889.92
2011/5/10,4918.674
2011/5/11,4929.488
2011/5/12,4863.795
2011/5/13,4902.564
2011/5/16,4900.706
2011/5/17,4873.954
2011/5/18,4906.189
2011/5/19,4879.892
2011/5/20,4863.185
2011/5/23,4679.527
2011/5/24,4672.076
2011/5/25,4618.748
2011/5/26,4572.942
2011/5/27,4428.894
2011/5/30,4345.048
2011/5/31,4444.276
2011/6/1,4490.892
2011/6/2,4429.999
2011/6/3,4506.196
2011/6/7,4547.303
2011/6/8,4562.972
2011/6/9,4456.73
2011/6/10,4469.049
2011/6/13,4468.787
2011/6/14,4540.939
2011/6/15,4499.694
2011/6/16,4402.143
2011/6/17,4337.367
2011/6/20,4278.753
2011/6/21,4338.422
2011/6/22,4321.219
2011/6/23,4402.938
2011/6/24,4509.18
2011/6/27,4568.189
2011/6/28,4574.477
2011/6/29,4511.545
2011/6/30,4579.332
2011/7/1,4604.746
2011/7/4,4719.391
2011/7/5,4749.424
2011/7/6,4760.917
2011/7/7,4761.452
2011/7/8,4756.614
2011/7/11,4799.42
2011/7/12,4731.118
2011/7/13,4825.419
2011/7/14,4866.165
2011/7/15,4896.043
2011/7/18,4895.26
2011/7/19,4843.705
2011/7/20,4849.057
2011/7/21,4784.388
2011/7/22,4800.938
2011/7/25,4613.73
2011/7/26,4633.372
2011/7/27,4710.379
2011/7/28,4680.898
2011/7/29,4628.32
2011/8/1,4644.462
2011/8/2,4610.783
2011/8/3,4625.173
2011/8/4,4649.425
2011/8/5,4559.018
2011/8/8,4330.771
2011/8/9,4317.107
2011/8/10,4378.698
2011/8/11,4454.394
2011/8/12,4505.886
2011/8/15,4571.719
2011/8/16,4533.321
2011/8/17,4513.485
2011/8/18,4436.101
2011/8/19,4395.019
2011/8/22,4363.959
2011/8/23,4434.922
2011/8/24,4427.978
2011/8/25,4520.171
2011/8/26,4530.423
2011/8/29,4490.158
2011/8/30,4451.726
2011/8/31,4430.538
2011/9/1,4395.069
2011/9/2,4344.977
2011/9/5,4238.069
2011/9/6,4204.908
2011/9/7,4306.361
2011/9/8,4260.155
2011/9/9,4233.748
2011/9/13,4164.288
2011/9/14,4212.129
2011/9/15,4215.5
2011/9/16,4214.816
2011/9/19,4131.885
2011/9/20,4151.851
2011/9/21,4275.094
2011/9/22,4151.8
2011/9/23,4117.735
2011/9/26,4051.425
2011/9/27,4068.231
2011/9/28,3999.782
2011/9/29,3871.06
2011/9/30,3856.828
2011/10/10,3832.577
2011/10/11,3817.927
2011/10/12,3950.655
2011/10/13,4001.853
2011/10/14,3985.193
2011/10/17,3997.121
2011/10/18,3877.024
2011/10/19,3854.169
2011/10/20,3740.469
2011/10/21,3671.695
2011/10/24,3736.765
2011/10/25,3842.978
2011/10/26,3884.39
2011/10/27,3888.992
2011/10/28,3978.8
2011/10/31,3999.362
2011/11/1,3999.831
2011/11/2,4072.781
2011/11/3,4097.618
2011/11/4,4131.13
2011/11/7,4114.767
2011/11/8,4057.555
2011/11/9,4126.003
2011/11/10,4064.371
2011/11/11,4062.144
2011/11/14,4159.567
2011/11/15,4192.665
2011/11/16,4088.323
2011/11/17,4079.536
2011/11/18,3963.258
2011/11/21,3966.636
2011/11/22,3957.93
2011/11/23,3942.695
2011/11/24,3935.273
2011/11/25,3911.356
2011/11/28,3915.298
2011/11/29,3980.618
2011/11/30,3819.942
2011/12/1,3897.019
2011/12/2,3817.041
2011/12/5,3692.227
2011/12/6,3691.804
2011/12/7,3702.103
2011/12/8,3700.089
2011/12/9,3663.843
2011/12/12,3616.087
2011/12/13,3490.4
2011/12/14,3423.474
2011/12/15,3329.575
2011/12/16,3427.214
2011/12/19,3434.845
2011/12/20,3424.448
2011/12/21,3342.401
2011/12/22,3298.724
2011/12/23,3327.394
2011/12/26,3308.072
2011/12/27,3224.148
2011/12/28,3207.399
2011/12/29,3207.181
2011/12/30,3266.775
2012/1/4,3192.234
2012/1/5,3074.368
2012/1/6,3087.546
2012/1/9,3212.904
2012/1/10,3345.391
2012/1/11,3346.742
2012/1/12,3345.812
2012/1/13,3233.701
2012/1/16,3130.558
2012/1/17,3304.88
2012/1/18,3237.852
2012/1/19,3270.765
2012/1/20,3315.603
2012/1/30,3292.409
2012/1/31,3294.494
2012/2/1,3266.234
2012/2/2,3328.153
2012/2/3,3383.05
2012/2/6,3412.405
2012/2/7,3356.838
2012/2/8,3445.52
2012/2/9,3469.846
2012/2/10,3488.229
2012/2/13,3519.875
2012/2/14,3524.625
2012/2/15,3578.149
2012/2/16,3577.202
2012/2/17,3565.306
2012/2/20,3574.458
2012/2/21,3618.302
2012/2/22,3689.004
2012/2/23,3700.888
2012/2/24,3756.825
2012/2/27,3764.326
2012/2/28,3745.58
2012/2/29,3696.144
2012/3/1,3715.673
2012/3/2,3794.416
2012/3/5,3798.377
2012/3/6,3760.585
2012/3/7,3732.707
2012/3/8,3791.827
2012/3/9,3848.108
2012/3/12,3871.12
2012/3/13,3910.064
2012/3/14,3734.317
2012/3/15,3689.014
2012/3/16,3786.617
