,open,close,high,low,volume,total_turnover,SZZSopen,SZZSclose,SZZShigh,SZZSlow,SZZSvolume,SZZStotal_turnover,HS300open,HS300close,HS300high,HS300low,HS300volume,HS300total_turnover,SZCZopen,SZCZclose,SZCZhigh,SZCZlow,SZCZvolume,SZCZtotal_turnover
2011/11/9,4065.198,4126.003,4126.003,4025.716,3218422500,35226762088,2512.587,2524.919,2527.703,2489.025,7820857200,78141603240,2739.154,2751.654,2755.811,2710.054,4687796000,48484230112,10575.183,10625.881,10636.504,10455.687,534681840,7714608390
2011/11/10,4080.357,4064.371,4112.367,4063.747,3452368000,37440704533,2498.594,2479.536,2507.452,2478.139,8711108800,85463858302,2720.836,2699.588,2729.572,2698.306,5117370200,51793948486,10508.722,10477.553,10567.483,10464.365,706445049,9065593483
2011/11/11,4069.401,4062.144,4096.569,4043.757,2918880100,30696087705,2483.957,2481.084,2496.527,2472.761,6613766800,65005133543,2705.243,2695.002,2713.914,2685.101,3663669600,38724219259,10500.573,10418.934,10531.137,10375.381,601315268,7201906601
2011/11/14,4092.055,4159.567,4159.699,4092.055,3512701700,38190175212,2498.672,2528.714,2529.632,2496.335,8122981200,82523780186,2717.544,2750.195,2751.88,2714.862,4639094300,51333489021,10501.73,10645.684,10645.684,10495.698,699999227,9474048920
2011/11/15,4159.16,4192.665,4192.767,4153.33,3516143900,37557787206,2525.948,2529.761,2534.059,2518.703,7922775000,80497345503,2746.773,2744.68,2754.001,2732.913,4175986400,46980738996,10631.046,10582.998,10640.323,10545.008,575644449,7871165573
2011/11/16,4194.375,4088.323,4195.294,4070.9,3835667700,39415694277,2529.073,2466.959,2529.458,2456.856,9338210900,92396963052,2745.858,2670.116,2746.29,2659.148,5594923900,57844199048,10593.55,10313.332,10595.88,10282.255,675133723,8857233886
2011/11/17,4086.506,4079.536,4125.854,4066.119,2924785300,29954118179,2467.704,2463.046,2482.528,2459.165,6641428500,65902701975,2671.953,2662.017,2687.831,2660.651,3524765200,37762635927,10317.322,10303.16,10408.605,10296.516,506348106,6631279022
2011/11/18,4054.459,3963.258,4054.459,3955.063,2996717700,30085063812,2448.387,2416.562,2448.51,2411.042,7218080700,70566565864,2643.667,2606.495,2646.209,2601.179,4241471800,44949477108,10236.985,10025.168,10242.066,10002.773,723339618,8647289995
2011/11/21,3956.393,3966.636,3966.811,3917.031,2048320100,20729218531,2416.732,2415.13,2419.244,2396.087,5017036600,49511107897,2608.556,2609.687,2613.262,2587.742,2797189600,31175406753,10032.465,10033.793,10063.847,9953.573,416468227,6010906846
2011/11/22,3932.5,3957.93,3960.55,3902.131,2017532300,20552295730,2400.984,2412.625,2414.85,2387.826,5144323300,50689583452,2592.229,2609.475,2611.15,2580.781,2906907800,31886735092,9971.683,10028.204,10052.443,9922.298,442047333,6439391800
2011/11/23,3964.142,3942.695,3978.471,3932.436,2043581700,21242540335,2415.197,2395.065,2418.56,2390.654,5054785000,50043359840,2613.291,2584.011,2617.088,2578.157,2853141200,30958563539,10043.017,9957.318,10076.678,9933.213,371834015,5658349844
2011/11/24,3909.388,3935.273,3957.878,3880.583,2110914300,21606417382,2379.146,2397.554,2409.719,2370.695,5215415000,51411098473,2565.686,2588.915,2604.236,2557.695,3031960100,31894726945,9889.551,9966.743,10023.067,9837.852,475211032,6146599204
2011/11/25,3931.095,3911.356,3960.848,3899.059,1914147400,20036399321,2393.327,2380.224,2403.942,2372.622,4536255200,46246206878,2585.137,2569.973,2598.392,2563.65,2391376600,27509358470,9943.66,9886.245,9999.552,9866.275,355435211,5291979773
2011/11/28,3915.999,3915.298,3932.404,3885.694,1850107300,19728503714,2383.893,2383.034,2396.827,2372.156,4606466600,46414831572,2578.344,2573.321,2589.354,2562.493,2566693600,29179539395,9908.124,9884.696,9961.657,9833.444,412692229,6115934282
2011/11/29,3945.356,3980.618,3980.618,3929.02,2275247200,25150758418,2398.994,2412.393,2413.326,2388.202,5512319000,57068884953,2595.086,2608.569,2609.187,2580.293,3002587800,34962425966,9970.921,10012.937,10012.937,9903.178,478488467,6891535371
2011/11/30,3974.726,3819.942,3974.726,3776.586,3011637400,30503776767,2406.329,2333.414,2407.326,2319.44,7661110400,72215263538,2600.099,2521.52,2601.9,2507.184,4235264500,42454205363,9991.948,9693.385,9991.948,9626.759,603347926,7893228502
2011/12/1,3923.165,3897.019,3960.341,3885.866,3494188400,36012451062,2392.485,2386.86,2423.559,2376.916,9865004600,95200516876,2596.153,2583.613,2630.664,2577.722,6352025200,66146809487,9976.523,9917.863,10102.354,9902.82,963280154,12693249808
2011/12/2,3878.014,3817.041,3878.014,3797.284,2321019100,24121569253,2374.899,2360.664,2378.299,2344.846,5986884500,57320156584,2570.56,2557.311,2575.692,2543.532,3218370300,33168419336,9868.405,9808.231,9898.094,9757.949,487588843,6669810041
2011/12/5,3806.467,3692.227,3807.05,3682.057,2016211300,20272059887,2363.111,2333.229,2363.127,2327.61,5221496900,48641215750,2561.2,2521.385,2561.2,2517.179,3206338800,32749927399,9805.451,9586.084,9807.694,9572.017,488842924,6725022247
2011/12/6,3679.736,3691.804,3704.344,3646.073,1703889200,17303464895,2326.66,2325.905,2331.892,2310.155,4591707700,42625594847,2515.044,2516.341,2525.666,2499.574,2629758100,26310941611,9568.872,9586.944,9618.411,9505.225,358110414,4956747904
2011/12/7,3689.05,3702.103,3718.707,3674.532,1532657400,15832822061,2325.562,2332.73,2339.847,2317.814,4157030600,39767464564,2517.341,2528.228,2534.529,2509.777,2326183900,23433730534,9582.383,9606.247,9656.233,9551.211,326096820,4414318664
2011/12/8,3695.873,3700.089,3732.22,3635.547,1949426300,20023526925,2329.911,2329.82,2346.654,2302.642,5147352000,49219492855,2525.041,2525.001,2549.101,2494.694,2777774400,27843683566,9603.145,9580.517,9712.137,9477.13,433010313,5301898291
2011/12/9,3672.591,3663.843,3706.247,3651.698,1535836600,15483300632,2315.513,2315.27,2331.259,2309.457,3998855900,38885194063,2506.624,2503.461,2525.162,2496.972,2402905900,25477241953,9516.245,9480.266,9583.154,9439.835,431947733,5313430301
2011/12/12,3663.562,3616.087,3675.946,3612.64,1409450300,14352803717,2312.151,2291.545,2315.811,2290.264,3963257800,36516062508,2497.922,2477.692,2502.046,2476.116,2190124900,21200444065,9457.831,9376.279,9467.044,9365.378,342897016,4162239772
2011/12/13,3597.092,3490.4,3597.092,3482.232,2035264900,19228830664,2283.223,2248.59,2285.814,2245.868,5862747800,51593326502,2467.016,2421.928,2472.656,2418.673,3571753400,33269154181,9343.235,9190.875,9367.755,9175.175,505432901,6137316483
2011/12/14,3477.046,3423.474,3505.881,3416.709,1545233400,14694836156,2241.387,2228.525,2256.744,2224.725,4407982200,38621178573,2415.944,2397.48,2433.55,2392.299,2532010900,23753606413,9164.214,9093.025,9234.683,9064.633,333367831,4204775183
2011/12/15,3401.499,3329.575,3401.499,3324.881,1986821500,17292580166,2215.792,2180.895,2216.909,2179.467,5671218600,47305130387,2382.441,2340.788,2384.473,2340.447,3675083400,33900401991,9041.063,8871.088,9041.063,8850.468,568718914,6955524921
2011/12/16,3328.212,3427.214,3427.339,3324.588,1922565800,17451381373,2179.509,2224.84,2225.538,2170.748,5726590300,50568967344,2339.976,2390.129,2390.378,2332.14,3630233900,33652058785,8864.945,9081.94,9081.94,8849.796,557623686,6660160238
2011/12/19,3408.564,3434.845,3436.632,3348.259,1938126500,18599687311,2208.071,2218.235,2221.448,2164.887,5781846400,49717681273,2370.418,2384.408,2387.89,2321.657,3790975200,33711370957,9002.683,9054.08,9089.874,8808.66,545160598,6492824742
2011/12/20,3422.761,3424.448,3474.089,3415.351,1995588600,18949756723,2209.699,2215.93,2239.859,2206.519,5276111300,46564369385,2376.709,2377.073,2412.572,2373.86,3240232700,29967658690,9020.969,9031.669,9166.658,9013.348,486596931,5619225030
2011/12/21,3449.369,3342.401,3463.319,3340.329,1775050000,16974517111,2230.18,2191.148,2237.466,2188.71,5087726200,46125532122,2397.275,2339.108,2404.775,2337.693,3120952500,30917839680,9111.32,8884.253,9147.217,8884.253,423391830,5121119704
2011/12/22,3315.839,3298.724,3331.42,3196.837,2191627000,19245552202,2178.572,2186.297,2201.587,2149.423,5898611700,48023419137,2325.27,2341.335,2358.468,2294.607,3668385800,31845455341,8828.619,8909.348,8992.022,8710.57,474313395,5486293388
2011/12/23,3286.448,3327.394,3357.428,3271.441,1899617600,17194869518,2183.911,2204.784,2219.786,2178.141,5242132500,43478781866,2337.382,2359.159,2382.709,2331.958,3316190400,29910296920,8899.222,8976.521,9100.293,8866.637,486696990,5640991307
2011/12/26,3321.981,3308.072,3357.362,3307.287,1547683700,14116222210,2193.659,2190.11,2213.453,2186.07,4361366300,36403330902,2345.555,2335.702,2369.818,2334.794,2822408700,25033053118,8931.581,8876.194,9038.136,8875.103,328979997,4124578762
2011/12/27,3297.413,3224.148,3297.413,3218.543,1587409700,14406429113,2186.709,2166.205,2196.973,2162.723,4571217900,37400003602,2332.826,2305.035,2346.384,2302.411,2927731400,26777021276,8876.623,8711.552,8904.951,8692.376,499852186,5969745489
2011/12/28,3201.309,3207.399,3208.908,3128.147,1744064800,15681874513,2157.65,2170.013,2170.672,2134.017,4963343500,40007345153,2295.866,2307.928,2309.645,2267.114,3288202000,28839274201,8667.333,8739.728,8746.535,8555.116,499686548,5737747589
2011/12/29,3190.193,3207.181,3225.004,3180.059,1522092700,13700896959,2161.184,2173.561,2181.955,2157.115,4474920000,35989659760,2297.288,2311.361,2323.488,2293.872,3088770000,26868223305,8693.141,8781.319,8831.804,8682.608,455712437,5289349922
2011/12/30,3214.195,3266.775,3267.65,3214.195,1778426500,16227112368,2177.517,2199.417,2200.988,2177.517,5194383800,42698835641,2318.673,2345.742,2349.029,2318.673,3586524300,32362650284,8805.407,8918.816,8942.856,8805.407,531913382,6696537421
2012/1/4,3290.819,3192.234,3300.009,3191.991,1834283900,16558479313,2211.995,2169.39,2217.52,2168.644,4924553700,40632918502,2361.499,2298.753,2365.988,2298.298,3434456700,32572551267,8980.756,8695.987,9025.66,8695.199,535299682,6840356037
2012/1/5,3173.007,3074.368,3173.007,3070.447,1996570000,17605632545,2160.898,2148.452,2183.404,2145.556,5874344700,46603965319,2290.78,2276.385,2316.657,2272.153,4301648000,37635272074,8653.102,8600.259,8744.221,8566.064,535915225,6547046130
2012/1/6,3060.446,3087.546,3087.546,3002.983,1781812300,15411282590,2148.147,2163.395,2164.322,2132.626,5058305400,39465868149,2274.352,2290.601,2291.885,2254.567,3519899200,31079362325,8597.373,8634.418,8643.286,8486.576,498828784,5724309000
